City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tainan,22.9908,120.2133,89.38,66,40,4.61,TW,2022-07-29 01:14:35
1,Kedrovyy,56.1667,91.8167,61.21,74,85,3.38,RU,2022-07-29 01:14:35
