City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Burnie,AU,-41.0667,145.9167,52.95,86,83,3.11,broken clouds,2022-07-26 01:18:46
60,Ossora,RU,59.2353,163.0719,62.67,65,96,7.83,overcast clouds,2022-07-26 01:18:47
61,Pankrushikha,RU,53.8319,80.3406,63.84,50,15,6.51,few clouds,2022-07-26 01:18:47
62,Plainview,US,40.7765,-73.4673,82.26,79,0,10.36,clear sky,2022-07-26 01:14:14
63,Saldanha,ZA,-33.0117,17.9442,55.42,50,0,8.68,clear sky,2022-07-26 01:18:48
64,Hermanus,ZA,-34.4187,19.2345,47.8,53,0,8.39,clear sky,2022-07-26 01:18:48
65,Avera,US,33.194,-82.5271,83.71,61,99,6.08,overcast clouds,2022-07-26 01:18:48
66,Buraydah,SA,26.326,43.975,90.05,19,33,4.99,scattered clouds,2022-07-26 01:18:49
67,Avarua,CK,-21.2078,-159.775,71.65,64,75,6.91,broken clouds,2022-07-26 01:15:49
68,Barrow,US,71.2906,-156.7887,37.42,87,100,29.93,mist,2022-07-26 01:18:49
69,Tual,ID,-5.6667,132.75,79.54,83,8,21.61,clear sky,2022-07-26 01:14:41
70,Coquimbo,CL,-29.9533,-71.3436,51.53,87,20,2.3,few clouds,2022-07-26 01:18:50
71,Cap Malheureux,MU,-19.9842,57.6142,67.46,79,2,3.0,clear sky,2022-07-26 01:18:50
72,Broome,US,42.2506,-75.833,69.55,78,0,8.05,clear sky,2022-07-26 01:18:50
73,Pilar,BR,-9.5972,-35.9567,71.53,88,27,2.89,scattered clouds,2022-07-26 01:18:51
74,Dicabisagan,PH,17.0818,122.4157,85.35,71,99,2.15,overcast clouds,2022-07-26 01:14:31
75,Canar,EC,-2.55,-78.9333,50.04,96,98,2.82,light rain,2022-07-26 01:18:51
76,Yarada,IN,17.65,83.2667,80.92,94,40,2.3,mist,2022-07-26 01:18:52
77,Cidreira,BR,-30.1811,-50.2056,60.89,95,4,5.84,clear sky,2022-07-26 01:18:52
78,Andros Town,BS,24.7,-77.7667,82.36,73,16,16.84,few clouds,2022-07-26 01:18:53
79,Murwillumbah,AU,-28.3167,153.4,72.12,60,0,12.66,clear sky,2022-07-26 01:18:53
80,Vestmannaeyjar,IS,63.4427,-20.2734,52.57,78,100,10.54,overcast clouds,2022-07-26 01:18:54
81,Oistins,BB,13.0667,-59.5333,80.69,83,40,14.97,scattered clouds,2022-07-26 01:18:54
82,Flinders,AU,-34.5833,150.8552,63.05,69,50,12.71,scattered clouds,2022-07-26 01:16:56
83,New Norfolk,AU,-42.7826,147.0587,56.91,82,97,1.99,overcast clouds,2022-07-26 01:13:57
84,Muros,ES,42.7762,-9.0603,64.83,80,4,8.08,clear sky,2022-07-26 01:18:55
85,Iquique,CL,-20.2208,-70.1431,57.24,79,58,2.1,broken clouds,2022-07-26 01:13:58
86,Kruisfontein,ZA,-34.0033,24.7314,47.01,72,0,6.67,clear sky,2022-07-26 01:18:55
87,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,99,1.01,overcast clouds,2022-07-26 01:18:56
88,Nouadhibou,MR,20.931,-17.0347,82.38,69,10,5.75,clear sky,2022-07-26 01:18:56
89,Chokurdakh,RU,70.6333,147.9167,61.56,36,42,14.92,scattered clouds,2022-07-26 01:18:56
90,Jamestown,US,42.097,-79.2353,67.59,73,0,3.44,clear sky,2022-07-26 01:17:31
91,Lugus,PH,5.7036,120.8203,83.89,72,100,7.52,overcast clouds,2022-07-26 01:18:57
92,Hami,CN,42.8,93.45,85.28,18,0,7.0,clear sky,2022-07-26 01:18:57
93,Fukue,JP,32.6881,128.8419,80.96,78,20,6.91,few clouds,2022-07-26 01:18:58
94,Gurupa,BR,-1.405,-51.64,73.31,94,51,3.18,moderate rain,2022-07-26 01:18:58
95,Mezen,RU,65.8522,44.24,47.37,84,10,4.76,clear sky,2022-07-26 01:18:59
96,Abalak,RU,58.1286,68.5944,64.2,95,19,2.84,few clouds,2022-07-26 01:18:59
97,Canutama,BR,-6.5339,-64.3831,78.26,48,4,1.79,clear sky,2022-07-26 01:18:59
98,Yaan,NG,7.3833,8.5667,72.07,95,100,6.93,overcast clouds,2022-07-26 01:19:00
99,Campoverde,PE,-8.4753,-74.8058,78.49,95,100,2.26,overcast clouds,2022-07-26 01:19:00
100,Aklavik,CA,68.2191,-135.0107,75.15,37,100,13.18,overcast clouds,2022-07-26 01:19:00
101,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,78,0,13.8,clear sky,2022-07-26 01:19:01
102,Sinnamary,GF,5.3833,-52.95,78.75,86,96,7.7,overcast clouds,2022-07-26 01:19:01
103,Lompoc,US,34.6391,-120.4579,79.02,76,0,11.5,clear sky,2022-07-26 01:16:50
104,Katsuura,JP,35.1333,140.3,80.49,87,100,18.52,overcast clouds,2022-07-26 01:19:02
105,Djenne,ML,13.9061,-4.5533,84.22,59,100,9.57,overcast clouds,2022-07-26 01:19:02
